"Latin Word","First Element","Definition","Chapter",
"curro, currere, cucurri, cursum ","curro","to run, rush, move quickly",14,
"cursus, cursus (m) ","cursus","running, race; course",28,
"custodia, custodiae (f) ","custodia","protection, custody (pl: guards)",32,
"de (+ablative) ","de ","down from, from; concerning, about",3,
"dea, deae (f)  ","dea","goddess",6,
"debeo, debēre, debui, debitum ","debeo","to owe; ought, must, should",1,
"decerno, decernere,decrevi, decretum ","decerno","to decide, settle, decree",36,
"dedico, dedicāre, dedicavi, dedicatum ","dedico","to dedicate",28,
"defendo, defendere,  defendi, defensum ","defendo","to ward off; defend, protect",20,
"dehinc ","dehinc ","then, next",25,
"deinde ","deinde ","then, next, thereupon",18,
"delectatio, delectationis (f) ","delectatio","delight, pleasure, enjoyment",27,
"delecto, delectāre, delectavi, delectatum ","delecto","to  delight, charm, please",19,
"deleo, delēre, delevi, deletum ","deleo","to destroy, wipe out, erase",17,
"demonstro, demonstrāre, demonstravi, demonstratum ","demonstro","to point out, show",8,
"denique ","denique ","finally, at last, lastly",29,
"desidero, desiderāre, desideravi, desideratum ","desidero","to desire, long for, miss",17,
"deus, dei (m) ","deus","god",6,
"dexter, dextra, dextrum ","dexter","right, right",20,
"dico, dicere, dixi, dictum ","dico","to say; tell, speak; name, call",10,
"dies, diei (m) ","dies","day",22,
"difficilis, difficile ","difficilis","difficult, hard, troublesome",16,
"digitus, digiti (m) ","digitus","finger, toe",31,
"dignitas, dignitatis (f) ","dignitas","merit, prestige, dignity",38,
"dignus, digna, dignum ","dignus","(+abl.) worthy, worthy of",29,
"diligens ","diligens ","diligent, careful",27,
"diligo, diligere, dilexi, dilectum ","diligo","to esteem, love",13,
"discedo, discedere, discessi, discessum ","discedo","to go away, depart",20,
"discipula, discipulae (f)  and discipulus, discipuli (m)","discipula","learner, pupil, student",6,
"disco, discere, didici ","disco","to learn",8,
"dissimilis, dissimile ","dissimilis","unlike, different",27,
"diu ","diu ","for a long time",12,
"dives (gen: divitis or ditis) ","dives (gen: divitis or ditis) ","rich",32,
"divitiae, divitiarum (f) ","divitiae","riches, wealth",13,
"do, dare, dedi, datum ","do","to give, offer",1,
"doceo, docēre, docui, doctum ","doceo","to teach",8,
"doctus, docta, doctum ","doctus","taught, learned, skilled",13,
"doleo, dolēre, dolui, doliturum ","doleo","to grieve,  suffer, hurt, give pain",31,
"dolor, doloris (m) ","dolor","pain, grief",38,
"dominus, domini (n) ","dominus","master",40,
"domus, domus (-i) (f) ","domus","home, house",37,
"donum, doni (n) ","donum","gift, present",4,
"dormio, dormire, dormivi, dormitum ","dormio","to sleep",31,
"dubito, dubitāre, dubitavi, dubitatum ","dubito","to doubt, hesitate",30,
"duco, ducere,  duxi, ductum ","duco","to lead, consider, regard; prolong",8,
"dulcis, dulce ","dulcis","sweet, pleasant, agreeable",16,
"dum ","dum ","while, as long as",8,
"dummodo (+subjunctive) ","dummodo ","provided that, so long as",32,
"durus, dura, durum ","durus","hard, harsh, rough, stern, unfeeling, hardy, difficult",29,
"dux, ducis (m) ","dux","leader; guide; commander, general",23,
"educo, educāre, educavi, educatum ","educo","to bring up, educate",23,
"egeo, egēre, egui ","egeo","(+ abl. or gen.) to need, lack, want",28,
"ego, mei ","ego","I",11,
"egredior, egredi, egressus sum ","egredior","to go out",34,
"elephantus, elephanti (m) ","elephantus","elephant",31,
"enim ","enim ","(post positive) for; in fact, truly",9,
"eo, ire, ii, itum ","eo","to go (also: abeo, adeo, exeo, ineo, obeo, pereo, redeo)",37,
"equus, equi (m) ","equus","horse",23,
"erga (+acc) ","erga ","toward",38,
"eripio, eripere,  eripui, ereptum ","eripio","to snatch away, take away, rescue",22,
"erro, errāre, erravi, erratum ","erro","to err, go astray, make a mistake, be mistaken; wander",1,
